OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_DISTRI,TIPO_DISTR,CODIGO_C17,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad
1,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6108,MACHALÍ,5,RURAL,610805,0,0,0,0,0,0,0,0,0,0,0,0,0.40259566,86956697.25,48324.19424034,59.40973282,0
2,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11302,O'HIGGINS,1,RURAL,1130201,0,0,0,0,0,0,0,0,0,0,1,1,1.771882,1616567530.17578,235165.65105788,1134.77832031,0
3,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11202,CISNES,3,RURAL,1120203,5,1,6,0,0,0,5,1,6,0,13,13,2.04249741,1492613317.12891,263283.54245676,747.58398438,0.00802585
4,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11101,COYHAIQUE,8,RURAL,1110108,7,1,8,0,0,0,7,1,8,0,21,21,1.61263297,1052997633.14844,204646.26248501,511.03927612,0.01565437
5,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11302,O'HIGGINS,3,RURAL,1130203,9,1,10,0,0,0,9,1,10,0,16,16,3.48693087,3255813109.51953,459513.73400577,1038.98400879,0.00962479
6,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11202,CISNES,6,RURAL,1120206,13,0,13,0,0,0,13,0,13,0,1,1,0.01121055,103849.3359375,1358.81442623,0.0655911,198.19761658
7,7,REGIÓN DEL MAULE,71,TALCA,7104,EMPEDRADO,5,RURAL,710405,9,5,14,0,0,0,9,5,14,0,9,9,0.53122323,128063940.392578,62700.14644342,84.4956131,0.16568908
8,13,REGIÓN METROPOLITANA DE SANTIAGO,136,TALAGANTE,13603,ISLA DE MAIPO,3,RURAL,1360303,10,4,14,0,0,0,10,4,14,0,12,12,0.26893264,40160473.8574219,32645.11671386,27.661726,0.50611448
9,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6203,LITUECHE,5,RURAL,620305,9,6,15,0,0,0,9,6,15,0,14,14,0.46541726,93017833.28125,54849.62677182,63.63106537,0.23573391
10,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,7,RURAL,1130107,9,6,15,0,0,0,9,6,15,0,12,12,2.054105,2303506353.28516,276109.75136107,1050.29052734,0.01428176
11,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,4,RURAL,1130104,15,8,23,0,0,0,15,8,23,0,10,10,1.73753368,1253935226.66016,221079.76598664,580.67041016,0.03960939
12,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,6,RURAL,1130106,11,12,23,0,0,0,11,12,23,0,14,14,1.90503004,1872776903.51953,256531.22858914,848.9362793,0.02709273
13,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,2,RURAL,1110202,15,11,26,0,0,0,15,11,26,0,14,14,1.723409,1460487423.78906,221753.33406686,753.77532959,0.03449304
14,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11302,O'HIGGINS,2,RURAL,1130202,23,6,29,0,0,0,23,6,29,0,28,28,3.47802245,9715966270.82812,488544.14012002,4234.46923828,0.00684856
15,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,5,RURAL,620105,16,15,31,0,0,0,16,15,31,0,17,17,0.44939794,114481045.732422,53998.59601045,64.49892426,0.48062816
16,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6108,MACHALÍ,6,RURAL,610806,24,12,36,0,0,0,24,12,36,0,20,20,1.64517021,1391976724.41211,196314.52688098,948.71557617,0.03794604
17,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6108,MACHALÍ,4,RURAL,610804,36,3,39,0,0,0,36,3,39,0,60,60,0.66332839,269941266.033203,78632.50326993,184.43634033,0.21145508
18,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11401,CHILE CHICO,5,RURAL,1140105,25,17,42,0,0,0,25,17,42,0,50,50,2.03006543,2154411645.38672,260084.98263386,1012.78271484,0.0414699
19,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6201,PICHILEMU,4,RURAL,620104,28,16,44,0,0,0,28,16,44,0,33,33,0.30240222,26319333.0273438,35712.40921578,17.83300209,2.46733546
20,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,5,RURAL,1130105,30,14,44,0,0,0,30,14,44,0,39,39,1.81216971,1576458181.10547,238880.14361562,714.77355957,0.06155796
21,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,4,RURAL,1140204,32,17,49,0,0,0,32,17,49,0,54,54,3.17920805,3907250910.12891,406062.37144231,1209.70837402,0.04050563
22,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11401,CHILE CHICO,4,RURAL,1140104,30,23,53,0,0,0,30,23,53,0,51,51,2.59543489,3249201019.39453,334905.67835242,1527.88195801,0.03468854
23,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,2,RURAL,1140202,31,24,55,0,0,0,31,24,55,0,55,55,1.54065785,1174998830.06641,192773.4869739,559.65606689,0.09827464
24,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,3,RURAL,1110203,42,14,56,0,0,0,42,14,56,0,52,52,2.73811394,2844434128.62891,334199.51854674,1447.53710938,0.0386864
25,7,REGIÓN DEL MAULE,73,CURICÓ,7307,SAGRADA FAMILIA,6,RURAL,730706,40,23,63,0,0,0,40,23,63,0,46,46,0.46438119,110190823.466797,54130.80085255,73.53862762,0.85669267
26,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6301,SAN FERNANDO,7,RURAL,630107,41,26,67,0,0,0,41,26,67,0,42,42,0.64444859,260660019.050781,77928.59701444,176.25140381,0.38013881
27,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,3,RURAL,1140203,62,27,89,0,0,0,62,27,89,0,107,107,1.68009268,1624959779.33984,209887.28189483,777.64074707,0.11444873
28,7,REGIÓN DEL MAULE,74,LINARES,7406,SAN JAVIER,15,RURAL,740615,51,50,101,0,0,0,51,50,101,0,55,55,0.52103481,152750591.335938,63126.39421924,101.030159,0.9997015
29,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,5,RURAL,1140205,56,46,102,0,0,0,56,46,102,0,156,156,1.86817057,2125500582.43359,237013.68248786,1008.0847168,0.10118197
30,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11301,COCHRANE,3,RURAL,1130103,72,31,103,0,0,0,72,31,103,0,76,76,3.12562505,3491051348.69922,410915.19928425,1607.68884277,0.06406713
31,7,REGIÓN DEL MAULE,74,LINARES,7404,PARRAL,14,RURAL,740414,47,57,104,0,0,0,47,57,104,0,46,46,1.10487245,395268740.417969,133139.17593946,255.45889282,0.40711051
32,7,REGIÓN DEL MAULE,73,CURICÓ,7304,MOLINA,9,RURAL,730409,68,38,106,0,0,0,68,38,106,0,62,62,0.63481582,177587579.798828,77493.83746914,117.87155151,0.89928395
33,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,5,RURAL,710305,67,41,108,0,0,0,67,41,108,0,57,57,0.53047433,122262160.515625,64572.86195354,81.43143463,1.32626915
34,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11101,COYHAIQUE,6,RURAL,1110106,74,41,115,0,0,0,74,41,115,0,141,141,2.64553196,2469067601.41797,340857.79918455,1197.50036621,0.09603337
35,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6309,PUMANQUE,4,RURAL,630904,64,52,116,0,0,0,64,52,116,0,70,70,0.64142286,199711421.25,77273.74480696,135.1346283,0.85840321
36,7,REGIÓN DEL MAULE,73,CURICÓ,7309,VICHUQUÉN,4,RURAL,730904,66,54,120,0,0,0,66,54,120,0,91,91,0.55325084,143412176.960938,67053.57008479,96.55884552,1.24276543
37,7,REGIÓN DEL MAULE,74,LINARES,7404,PARRAL,13,RURAL,740413,84,51,135,0,0,0,84,51,135,0,218,218,1.2641798,369235569.904297,153464.69529514,238.94213867,0.56499034
38,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11401,CHILE CHICO,3,RURAL,1140103,77,58,135,0,0,0,77,58,135,0,140,140,2.31941494,2414125085.41406,297061.72729051,1125.23852539,0.11997457
39,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13503,CURACAVÍ,5,RURAL,1350305,88,48,136,0,0,0,88,48,136,0,107,107,0.78565516,290875856.726562,93045.54571503,202.90596008,0.67026126
40,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11201,AYSÉN,5,RURAL,1120105,134,2,136,0,0,0,134,2,136,0,34,34,51.47159836,35897475978.2305,6318805.38902806,17068.55664063,0.00796787
41,7,REGIÓN DEL MAULE,73,CURICÓ,7304,MOLINA,10,RURAL,730410,87,61,148,0,0,0,87,61,148,0,157,157,2.1466713,1518345597.41992,256325.03793932,1005.86419678,0.14713717
42,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,18,RURAL,720118,82,67,149,0,0,0,82,67,149,0,63,63,0.74131544,221434339.398438,89627.18829529,145.79826355,1.02196002
43,7,REGIÓN DEL MAULE,73,CURICÓ,7306,ROMERAL,5,RURAL,730605,81,69,150,0,0,0,81,69,150,0,52,52,0.88506503,157073001.283203,104256.56998974,105.02312469,1.42825687
